North Carolina state House Democratic Caucus	Democrat	0	0	1	0	0	0
New Jersey Education Association	None	2	0	1	0	0	0
Democratic Senatorial Campaign Committee	Democrat	1	2	4	2	3	0
Wisconsin Republican Legislative leaders	Republican	1	1	1	2	0	1
Concernedcitizen4U	None	0	0	0	0	1	0
Michael Adams	None	0	0	1	0	0	0
Restore American Freedom and Liberty	Organization	0	0	0	0	1	0
Left Action	Democrat	0	0	0	0	1	0
Judith Zaffirini	Democrat	0	1	0	0	0	0
Phil Scott	Republican	1	0	2	1	2	0
Sam Adams	Democrat	3	2	5	3	2	0
Austin for a Better Future	None	0	0	0	0	0	1
Stephanie Schriock	Democrat	1	0	0	0	0	0
Scott Garrett	Republican	1	0	0	1	0	0
Atlanta Journal-Constitution	None	1	0	0	0	0	0
Arizonans for Responsible Drug Policy	None	0	0	1	1	0	0
Nick Ciparro	Republican	0	0	0	0	0	1
William Benson Huber	Tea Party member	0	0	0	0	0	1
Drug Policy Alliance	None	0	0	0	1	0	0
Ian Prior	Republican	0	0	1	0	0	0
Warren Kampf	Republican	0	1	0	0	0	0
Roger Roth	Republican	1	0	0	0	0	1
Kofi Annan	None	0	1	0	0	0	0
Diane Ravitch	Newsmaker	0	0	0	1	0	0
Adam Hasner	Republican	1	4	4	2	1	0
Seth Moulton	Democrat	1	0	2	1	0	0
David Cote	None	0	1	0	0	0	0
Betsy Miller-Jones	None	0	0	0	0	1	0
Citizens for Michael McAuliffe and House Republican Organization	Republican	0	0	0	1	0	0
John Pistole	None	1	0	0	0	0	0
Americans for Responsible Solutions	None	0	2	1	1	0	0
Brian Stelter	None	1	0	0	0	0	0
Sara Meaney	None	1	0	0	0	1	0
Joe Arpaio	Republican	0	0	0	0	1	0
Thomas Norment	 Jr.Republican	0	0	0	0	1	0
Elizabeth Warren	Democrat	7	11	10	4	2	0
Linda Curtis	Independent	0	1	0	0	0	0
Georgia Gun Owners	None	0	0	0	1	0	0
National Association for Gun Rights	None	0	0	0	1	0	1
Hugh Thompson	None	1	0	0	0	0	0
Mike Rogers	Republican	1	2	1	1	1	1
Charlie Sykes	Talk show host	0	0	0	0	1	2
Sylvester Turner	Democrat	0	2	0	0	2	0
Stokes County school teacher	None	0	0	0	0	1	0
Michael Solomon	Democrat	0	0	0	1	0	0
Jon Huntsman	Republican	2	4	5	5	1	1
Tom Luce	None	0	0	0	1	0	0
Jeanne Ives	Republican	0	1	0	0	4	1
Chuck Fleischmann	Republican	0	0	0	0	1	0
Joe Miller	Republican	0	0	0	0	1	0
Cora Faith Walker	Democrat	0	1	0	0	0	0
Doug LaMalfa	Republican	0	0	1	0	0	0
Constitutional Rights PAC	Organization	0	0	0	0	1	0
TJ Donovan	Democrat	0	0	0	1	0	0
Arthenia Joyner	Democrat	1	1	0	0	0	0
Reiner Fuellmich	None	0	0	0	0	1	0
Gerald McCormick	Republican	0	0	0	0	1	0
Mary Nolan	Democrat	2	0	3	0	0	0
Families USA	Democrat	0	0	0	0	0	0
Mark Jacobs	Republican	0	0	0	0	0	0
Dana Milbank	None	0	1	0	2	0	0
Libertarian Party of Broward County	Libertarian	0	0	0	0	1	0
